,image,label
0,/kaggle/input/street-objects/dataset/bicycle/1047.jpg,0
1,/kaggle/input/street-objects/dataset/bicycle/1058.jpg,0
2,/kaggle/input/street-objects/dataset/bicycle/1099.jpg,0
3,/kaggle/input/street-objects/dataset/bicycle/1126.jpg,0
4,/kaggle/input/street-objects/dataset/bicycle/1327.jpg,0
5,/kaggle/input/street-objects/dataset/bicycle/1377.jpg,0
6,/kaggle/input/street-objects/dataset/bicycle/1385.jpg,0
7,/kaggle/input/street-objects/dataset/bicycle/1497.jpg,0
8,/kaggle/input/street-objects/dataset/bicycle/1609.jpg,0
9,/kaggle/input/street-objects/dataset/bicycle/1715.jpg,0
10,/kaggle/input/street-objects/dataset/bicycle/1741.jpg,0
11,/kaggle/input/street-objects/dataset/bicycle/1743.jpg,0
12,/kaggle/input/street-objects/dataset/bicycle/1750.jpg,0
13,/kaggle/input/street-objects/dataset/bicycle/1751.jpg,0
14,/kaggle/input/street-objects/dataset/bicycle/1752.jpg,0
15,/kaggle/input/street-objects/dataset/bicycle/1756.jpg,0
16,/kaggle/input/street-objects/dataset/bicycle/1794.jpg,0
17,/kaggle/input/street-objects/dataset/bicycle/1795.jpg,0
18,/kaggle/input/street-objects/dataset/bicycle/1797.jpg,0
19,/kaggle/input/street-objects/dataset/bicycle/1799.jpg,0
20,/kaggle/input/street-objects/dataset/bicycle/1830.jpg,0
21,/kaggle/input/street-objects/dataset/bicycle/1832.jpg,0
22,/kaggle/input/street-objects/dataset/bicycle/2024.jpg,0
23,/kaggle/input/street-objects/dataset/bicycle/2025.jpg,0
24,/kaggle/input/street-objects/dataset/bicycle/2668.jpg,0
25,/kaggle/input/street-objects/dataset/bicycle/2669.jpg,0
26,/kaggle/input/street-objects/dataset/bicycle/2670.jpg,0
27,/kaggle/input/street-objects/dataset/bicycle/2671.jpg,0
28,/kaggle/input/street-objects/dataset/bicycle/2672.jpg,0
29,/kaggle/input/street-objects/dataset/bicycle/2673.jpg,0
30,/kaggle/input/street-objects/dataset/bicycle/2674.jpg,0
31,/kaggle/input/street-objects/dataset/bicycle/2747.jpg,0
32,/kaggle/input/street-objects/dataset/bicycle/2761.jpg,0
33,/kaggle/input/street-objects/dataset/bicycle/2762.jpg,0
34,/kaggle/input/street-objects/dataset/bicycle/2763.jpg,0
35,/kaggle/input/street-objects/dataset/bicycle/2766.jpg,0
36,/kaggle/input/street-objects/dataset/bicycle/2826.jpg,0
